x1,x2,peak,cosineSim
356,356,14,0.866025403784439
357,357,13,0.7071067811865479
358,358,11,0.258819045102521
359,359,10,6.106226635438361e-16
360,360,7,-0.707106781186547
361,361,5,-0.9659258262890681
362,362,3,-0.9659258262890684
363,363,1,-0.7071067811865479
364,364,0,-0.5000000000000004
365,365,23,-0.25881904510252135
366,366,21,0.25881904510252046
367,367,20,0.4999999999999994
368,368,19,0.7071067811865475
369,369,17,0.9659258262890684
370,370,16,1.0
371,371,15,0.9659258262890684
372,372,13,0.7071067811865479
373,373,12,0.5000000000000008
374,374,9,-0.2588190451025203
375,375,8,-0.4999999999999997
376,376,5,-0.9659258262890681
377,377,3,-0.9659258262890684
378,378,2,-0.8660254037844388
379,379,1,-0.7071067811865479
380,380,0,-0.5000000000000004
381,381,22,0.0
382,382,20,0.4999999999999994
383,383,19,0.7071067811865475
384,384,17,0.9659258262890684
385,385,16,1.0
386,386,15,0.9659258262890684
387,387,13,0.7071067811865479
388,388,11,0.258819045102521
389,389,9,-0.2588190451025203
390,390,6,-0.8660254037844383
391,391,4,-1.0
392,392,3,-0.9659258262890684
393,393,1,-0.7071067811865479
394,394,23,-0.25881904510252135
395,395,22,0.0
396,396,20,0.4999999999999994
397,397,18,0.8660254037844385
398,398,17,0.9659258262890684
399,399,15,0.9659258262890684
400,400,14,0.866025403784439
401,401,13,0.7071067811865479
402,402,11,0.258819045102521
403,403,9,-0.2588190451025203
404,404,7,-0.707106781186547
405,405,6,-0.8660254037844383
406,406,3,-0.9659258262890684
407,407,1,-0.7071067811865479
408,408,0,-0.5000000000000004
409,409,22,0.0
410,410,21,0.25881904510252046
411,411,19,0.7071067811865475
412,412,17,0.9659258262890684
413,413,16,1.0
414,414,15,0.9659258262890684
415,415,14,0.866025403784439
416,416,13,0.7071067811865479
417,417,11,0.258819045102521
418,418,8,-0.4999999999999997
419,419,7,-0.707106781186547
420,420,4,-1.0
421,421,3,-0.9659258262890684
422,422,1,-0.7071067811865479
423,423,0,-0.5000000000000004
424,424,23,-0.25881904510252135
425,425,21,0.25881904510252046
426,426,20,0.4999999999999994
427,427,18,0.8660254037844385
428,428,17,0.9659258262890684
429,429,16,1.0
430,430,15,0.9659258262890684
431,431,14,0.866025403784439
432,432,13,0.7071067811865479
433,433,12,0.5000000000000008
434,434,9,-0.2588190451025203
435,435,7,-0.707106781186547
436,436,5,-0.9659258262890681
437,437,3,-0.9659258262890684
438,438,2,-0.8660254037844388
439,439,1,-0.7071067811865479
440,440,0,-0.5000000000000004
441,441,22,0.0
442,442,22,0.0
443,443,20,0.4999999999999994
444,444,19,0.7071067811865475
445,445,18,0.8660254037844385
446,446,17,0.9659258262890684
447,447,16,1.0
448,448,15,0.9659258262890684
449,449,14,0.866025403784439
450,450,13,0.7071067811865479
451,451,11,0.258819045102521
452,452,9,-0.2588190451025203
453,453,6,-0.8660254037844383
454,454,4,-1.0
455,455,3,-0.9659258262890684
456,456,2,-0.8660254037844388
457,457,1,-0.7071067811865479
458,458,23,-0.25881904510252135
459,459,22,0.0
460,460,21,0.25881904510252046
461,461,20,0.4999999999999994
462,462,19,0.7071067811865475
463,463,18,0.8660254037844385
464,464,17,0.9659258262890684
465,465,16,1.0
466,466,15,0.9659258262890684
467,467,14,0.866025403784439
468,468,13,0.7071067811865479
469,469,12,0.5000000000000008
470,470,11,0.258819045102521
471,471,8,-0.4999999999999997
472,472,7,-0.707106781186547
473,473,5,-0.9659258262890681
474,474,4,-1.0
475,475,3,-0.9659258262890684
476,476,2,-0.8660254037844388
477,477,1,-0.7071067811865479
478,478,0,-0.5000000000000004
479,479,22,0.0
480,480,21,0.25881904510252046
481,481,20,0.4999999999999994
482,482,19,0.7071067811865475
483,483,18,0.8660254037844385
484,484,16,1.0
485,485,15,0.9659258262890684
486,486,13,0.7071067811865479
487,487,12,0.5000000000000008
488,488,10,6.106226635438361e-16
489,489,8,-0.4999999999999997
490,490,5,-0.9659258262890681
491,491,4,-1.0
492,492,3,-0.9659258262890684
493,493,2,-0.8660254037844388
494,494,0,-0.5000000000000004
495,495,23,-0.25881904510252135
496,496,22,0.0
497,497,20,0.4999999999999994
498,498,19,0.7071067811865475
499,499,16,1.0
500,500,15,0.9659258262890684
501,501,14,0.866025403784439
502,502,13,0.7071067811865479
503,503,10,6.106226635438361e-16
504,504,6,-0.8660254037844383
505,505,4,-1.0
506,506,3,-0.9659258262890684
507,507,1,-0.7071067811865479
508,508,0,-0.5000000000000004
509,509,23,-0.25881904510252135
510,510,21,0.25881904510252046
511,511,20,0.4999999999999994
512,512,18,0.8660254037844385
513,513,17,0.9659258262890684
514,514,15,0.9659258262890684
515,515,14,0.866025403784439
516,516,13,0.7071067811865479
517,517,12,0.5000000000000008
518,518,9,-0.2588190451025203
519,519,6,-0.8660254037844383
520,520,4,-1.0
521,521,2,-0.8660254037844388
522,522,1,-0.7071067811865479
523,523,23,-0.25881904510252135
524,524,22,0.0
525,525,20,0.4999999999999994
526,526,18,0.8660254037844385
527,527,17,0.9659258262890684
528,528,16,1.0
529,529,15,0.9659258262890684
530,530,13,0.7071067811865479
531,531,12,0.5000000000000008
532,532,9,-0.2588190451025203
533,533,7,-0.707106781186547
534,534,4,-1.0
535,535,3,-0.9659258262890684
536,536,1,-0.7071067811865479
537,537,23,-0.25881904510252135
538,538,21,0.25881904510252046
539,539,20,0.4999999999999994
540,540,19,0.7071067811865475
541,541,17,0.9659258262890684
542,542,16,1.0
543,543,14,0.866025403784439
544,544,13,0.7071067811865479
545,545,10,6.106226635438361e-16
546,546,8,-0.4999999999999997
547,547,5,-0.9659258262890681
548,548,4,-1.0
549,549,3,-0.9659258262890684
550,550,1,-0.7071067811865479
551,551,0,-0.5000000000000004
552,552,23,-0.25881904510252135
553,553,21,0.25881904510252046
554,554,20,0.4999999999999994
555,555,19,0.7071067811865475
556,556,18,0.8660254037844385
557,557,17,0.9659258262890684
558,558,16,1.0
559,559,15,0.9659258262890684
560,560,13,0.7071067811865479
561,561,12,0.5000000000000008
562,562,9,-0.2588190451025203
563,563,6,-0.8660254037844383
564,564,5,-0.9659258262890681
565,565,3,-0.9659258262890684
566,566,2,-0.8660254037844388
567,567,0,-0.5000000000000004
568,568,23,-0.25881904510252135
569,569,22,0.0
570,570,20,0.4999999999999994
571,571,19,0.7071067811865475
572,572,18,0.8660254037844385
573,573,17,0.9659258262890684
574,574,16,1.0
575,575,14,0.866025403784439
576,576,13,0.7071067811865479
577,577,11,0.258819045102521
578,578,7,-0.707106781186547
579,579,6,-0.8660254037844383
580,580,4,-1.0
581,581,3,-0.9659258262890684
582,582,2,-0.8660254037844388
583,583,0,-0.5000000000000004
584,584,22,0.0
585,585,21,0.25881904510252046
586,586,20,0.4999999999999994
587,587,19,0.7071067811865475
588,588,18,0.8660254037844385
589,589,17,0.9659258262890684
590,590,16,1.0
591,591,14,0.866025403784439
592,592,13,0.7071067811865479
593,593,12,0.5000000000000008
594,594,10,6.106226635438361e-16
595,595,6,-0.8660254037844383
596,596,4,-1.0
597,597,3,-0.9659258262890684
598,598,1,-0.7071067811865479
599,599,0,-0.5000000000000004
600,600,23,-0.25881904510252135
601,601,22,0.0
602,602,20,0.4999999999999994
603,603,19,0.7071067811865475
604,604,18,0.8660254037844385
605,605,17,0.9659258262890684
606,606,15,0.9659258262890684
607,607,14,0.866025403784439
608,608,13,0.7071067811865479
609,609,12,0.5000000000000008
610,610,10,6.106226635438361e-16
611,611,6,-0.8660254037844383
612,612,5,-0.9659258262890681
613,613,3,-0.9659258262890684
614,614,2,-0.8660254037844388
615,615,1,-0.7071067811865479
616,616,0,-0.5000000000000004
617,617,23,-0.25881904510252135
618,618,22,0.0
619,619,20,0.4999999999999994
620,620,19,0.7071067811865475
621,621,18,0.8660254037844385
622,622,17,0.9659258262890684
623,623,16,1.0
624,624,15,0.9659258262890684
625,625,14,0.866025403784439
626,626,13,0.7071067811865479
627,627,12,0.5000000000000008
628,628,10,6.106226635438361e-16
629,629,7,-0.707106781186547
630,630,5,-0.9659258262890681
631,631,4,-1.0
632,632,3,-0.9659258262890684
633,633,2,-0.8660254037844388
634,634,1,-0.7071067811865479
635,635,23,-0.25881904510252135
636,636,22,0.0
637,637,21,0.25881904510252046
638,638,20,0.4999999999999994
639,639,19,0.7071067811865475
640,640,18,0.8660254037844385
641,641,18,0.8660254037844385
642,642,17,0.9659258262890684
643,643,16,1.0
644,644,15,0.9659258262890684
645,645,14,0.866025403784439
646,646,13,0.7071067811865479
647,647,12,0.5000000000000008
648,648,10,6.106226635438361e-16
649,649,7,-0.707106781186547
650,650,5,-0.9659258262890681
651,651,3,-0.9659258262890684
652,652,2,-0.8660254037844388
653,653,1,-0.7071067811865479
654,654,0,-0.5000000000000004
655,655,22,0.0
656,656,21,0.25881904510252046
657,657,20,0.4999999999999994
658,658,19,0.7071067811865475
659,659,18,0.8660254037844385
660,660,17,0.9659258262890684
661,661,16,1.0
662,662,15,0.9659258262890684
663,663,14,0.866025403784439
664,664,13,0.7071067811865479
665,665,12,0.5000000000000008
666,666,8,-0.4999999999999997
667,667,7,-0.707106781186547
668,668,5,-0.9659258262890681
669,669,3,-0.9659258262890684
670,670,2,-0.8660254037844388
671,671,1,-0.7071067811865479
672,672,23,-0.25881904510252135
673,673,22,0.0
674,674,21,0.25881904510252046
675,675,20,0.4999999999999994
676,676,18,0.8660254037844385
677,677,17,0.9659258262890684
678,678,16,1.0
679,679,15,0.9659258262890684
680,680,14,0.866025403784439
681,681,14,0.866025403784439
682,682,12,0.5000000000000008
683,683,10,6.106226635438361e-16
684,684,7,-0.707106781186547
685,685,6,-0.8660254037844383
686,686,5,-0.9659258262890681
687,687,3,-0.9659258262890684
688,688,2,-0.8660254037844388
689,689,1,-0.7071067811865479
690,690,0,-0.5000000000000004
691,691,23,-0.25881904510252135
692,692,22,0.0
693,693,21,0.25881904510252046
694,694,20,0.4999999999999994
695,695,19,0.7071067811865475
696,696,17,0.9659258262890684
697,697,16,1.0
698,698,15,0.9659258262890684
699,699,14,0.866025403784439
700,700,13,0.7071067811865479
701,701,12,0.5000000000000008
702,702,8,-0.4999999999999997
703,703,6,-0.8660254037844383
704,704,4,-1.0
705,705,3,-0.9659258262890684
706,706,2,-0.8660254037844388
707,707,1,-0.7071067811865479
708,708,0,-0.5000000000000004
709,709,23,-0.25881904510252135
710,710,22,0.0
711,711,21,0.25881904510252046
712,712,19,0.7071067811865475
713,713,18,0.8660254037844385
714,714,17,0.9659258262890684
715,715,16,1.0
716,716,14,0.866025403784439
717,717,13,0.7071067811865479
718,718,12,0.5000000000000008
719,719,8,-0.4999999999999997
720,720,6,-0.8660254037844383
721,721,4,-1.0
722,722,3,-0.9659258262890684
723,723,2,-0.8660254037844388
724,724,1,-0.7071067811865479
725,725,23,-0.25881904510252135
726,726,22,0.0
727,727,20,0.4999999999999994
728,728,19,0.7071067811865475
729,729,18,0.8660254037844385
730,730,16,1.0
731,731,15,0.9659258262890684
732,732,13,0.7071067811865479
733,733,10,6.106226635438361e-16
734,734,7,-0.707106781186547
735,735,4,-1.0
736,736,3,-0.9659258262890684
737,737,1,-0.7071067811865479
738,738,0,-0.5000000000000004
739,739,23,-0.25881904510252135
740,740,21,0.25881904510252046
741,741,20,0.4999999999999994
742,742,18,0.8660254037844385
743,743,17,0.9659258262890684
744,744,16,1.0
745,745,15,0.9659258262890684
746,746,13,0.7071067811865479
747,747,11,0.258819045102521
748,748,7,-0.707106781186547
749,749,5,-0.9659258262890681
750,750,3,-0.9659258262890684
751,751,2,-0.8660254037844388
752,752,0,-0.5000000000000004
753,753,22,0.0
754,754,20,0.4999999999999994
755,755,19,0.7071067811865475
756,756,18,0.8660254037844385
757,757,16,1.0
758,758,15,0.9659258262890684
759,759,14,0.866025403784439
760,760,13,0.7071067811865479
761,761,11,0.258819045102521
762,762,7,-0.707106781186547
763,763,5,-0.9659258262890681
764,764,3,-0.9659258262890684
765,765,2,-0.8660254037844388
766,766,0,-0.5000000000000004
767,767,22,0.0
768,768,21,0.25881904510252046
769,769,19,0.7071067811865475
770,770,18,0.8660254037844385
771,771,17,0.9659258262890684
772,772,15,0.9659258262890684
773,773,14,0.866025403784439
774,774,13,0.7071067811865479
775,775,10,6.106226635438361e-16
776,776,6,-0.8660254037844383
777,777,4,-1.0
778,778,3,-0.9659258262890684
779,779,1,-0.7071067811865479
780,780,0,-0.5000000000000004
781,781,23,-0.25881904510252135
782,782,22,0.0
783,783,21,0.25881904510252046
784,784,19,0.7071067811865475
785,785,18,0.8660254037844385
786,786,17,0.9659258262890684
787,787,16,1.0
788,788,15,0.9659258262890684
789,789,14,0.866025403784439
790,790,12,0.5000000000000008
791,791,8,-0.4999999999999997
792,792,6,-0.8660254037844383
793,793,4,-1.0
794,794,3,-0.9659258262890684
795,795,2,-0.8660254037844388
796,796,0,-0.5000000000000004
797,797,23,-0.25881904510252135
798,798,22,0.0
799,799,21,0.25881904510252046
800,800,19,0.7071067811865475
801,801,18,0.8660254037844385
802,802,17,0.9659258262890684
803,803,16,1.0
804,804,15,0.9659258262890684
805,805,14,0.866025403784439
806,806,13,0.7071067811865479
807,807,10,6.106226635438361e-16
808,808,7,-0.707106781186547
809,809,5,-0.9659258262890681
810,810,4,-1.0
811,811,3,-0.9659258262890684
812,812,2,-0.8660254037844388
813,813,1,-0.7071067811865479
814,814,0,-0.5000000000000004
815,815,22,0.0
816,816,21,0.25881904510252046
817,817,20,0.4999999999999994
818,818,19,0.7071067811865475
819,819,17,0.9659258262890684
820,820,16,1.0
821,821,15,0.9659258262890684
822,822,14,0.866025403784439
823,823,13,0.7071067811865479
824,824,12,0.5000000000000008
825,825,7,-0.707106781186547
826,826,5,-0.9659258262890681
827,827,4,-1.0
828,828,3,-0.9659258262890684
829,829,2,-0.8660254037844388
830,830,0,-0.5000000000000004
831,831,23,-0.25881904510252135
832,832,22,0.0
833,833,21,0.25881904510252046
834,834,20,0.4999999999999994
835,835,18,0.8660254037844385
836,836,17,0.9659258262890684
837,837,16,1.0
838,838,15,0.9659258262890684
839,839,14,0.866025403784439
840,840,12,0.5000000000000008
841,841,9,-0.2588190451025203
842,842,6,-0.8660254037844383
843,843,5,-0.9659258262890681
844,844,3,-0.9659258262890684
845,845,2,-0.8660254037844388
846,846,1,-0.7071067811865479
847,847,0,-0.5000000000000004
848,848,23,-0.25881904510252135
849,849,21,0.25881904510252046
850,850,20,0.4999999999999994
851,851,19,0.7071067811865475
852,852,18,0.8660254037844385
853,853,17,0.9659258262890684
854,854,16,1.0
855,855,15,0.9659258262890684
856,856,14,0.866025403784439
857,857,13,0.7071067811865479
858,858,11,0.258819045102521
859,859,7,-0.707106781186547
860,860,5,-0.9659258262890681
861,861,4,-1.0
862,862,3,-0.9659258262890684
863,863,2,-0.8660254037844388
864,864,0,-0.5000000000000004
865,865,23,-0.25881904510252135
866,866,22,0.0
867,867,21,0.25881904510252046
868,868,20,0.4999999999999994
869,869,19,0.7071067811865475
870,870,17,0.9659258262890684
871,871,17,0.9659258262890684
872,872,16,1.0
873,873,15,0.9659258262890684
874,874,14,0.866025403784439
875,875,13,0.7071067811865479
876,876,11,0.258819045102521
877,877,10,6.106226635438361e-16
878,878,7,-0.707106781186547
879,879,5,-0.9659258262890681
880,880,4,-1.0
881,881,3,-0.9659258262890684
882,882,2,-0.8660254037844388
883,883,1,-0.7071067811865479
884,884,0,-0.5000000000000004
885,885,23,-0.25881904510252135
886,886,22,0.0
887,887,21,0.25881904510252046
888,888,20,0.4999999999999994
889,889,19,0.7071067811865475
890,890,19,0.7071067811865475
891,891,18,0.8660254037844385
892,892,17,0.9659258262890684
893,893,16,1.0
894,894,15,0.9659258262890684
895,895,15,0.9659258262890684
896,896,14,0.866025403784439
897,897,13,0.7071067811865479
898,898,12,0.5000000000000008
899,899,11,0.258819045102521
900,900,9,-0.2588190451025203
901,901,7,-0.707106781186547
902,902,6,-0.8660254037844383
903,903,5,-0.9659258262890681
904,904,4,-1.0
905,905,3,-0.9659258262890684
906,906,2,-0.8660254037844388
907,907,1,-0.7071067811865479
908,908,1,-0.7071067811865479
909,909,0,-0.5000000000000004
910,910,0,-0.5000000000000004
911,911,23,-0.25881904510252135
912,912,22,0.0
913,913,21,0.25881904510252046
914,914,21,0.25881904510252046
915,915,20,0.4999999999999994
916,916,19,0.7071067811865475
917,917,18,0.8660254037844385
918,918,17,0.9659258262890684
919,919,17,0.9659258262890684
920,920,16,1.0
921,921,15,0.9659258262890684
922,922,15,0.9659258262890684
923,923,14,0.866025403784439
924,924,13,0.7071067811865479
925,925,12,0.5000000000000008
926,926,10,6.106226635438361e-16
927,927,7,-0.707106781186547
928,928,6,-0.8660254037844383
929,929,5,-0.9659258262890681
930,930,4,-1.0
931,931,3,-0.9659258262890684
932,932,2,-0.8660254037844388
933,933,1,-0.7071067811865479
934,934,0,-0.5000000000000004
935,935,23,-0.25881904510252135
936,936,23,-0.25881904510252135
937,937,21,0.25881904510252046
938,938,21,0.25881904510252046
939,939,20,0.4999999999999994
940,940,19,0.7071067811865475
941,941,18,0.8660254037844385
942,942,17,0.9659258262890684
943,943,16,1.0
944,944,16,1.0
945,945,15,0.9659258262890684
946,946,14,0.866025403784439
947,947,13,0.7071067811865479
948,948,12,0.5000000000000008
949,949,10,6.106226635438361e-16
950,950,8,-0.4999999999999997
